ags_new	name_new	ags_old	name_old
01058077	Hohenwestedt	01058077	Hohenwestedt
01058007	Arpsdorf	01058007	Arpsdorf
01058009	Aukrug	01058009	Aukrug
01058044	Ehndorf	01058044	Ehndorf
01058128	Padenstedt	01058128	Padenstedt
01058013	Beldorf	01058013	Beldorf
01058014	Bendorf	01058014	Bendorf
01058025	Bornholt	01058025	Bornholt
01058061	Gokels	01058061	Gokels
01058072	Hanerau-Hademarschen	01058072	Hanerau-Hademarschen
01058100	Lütjenwestedt	01058100	Lütjenwestedt
01058119	Oldenbüttel	01058119	Oldenbüttel
01058151	Seefeld	01058151	Seefeld
01058156	Steenfeld	01058156	Steenfeld
01058158	Tackesdorf	01058158	Tackesdorf
01058161	Thaden	01058161	Thaden
01058015	Beringstedt	01058015	Beringstedt
01058062	Grauel	01058062	Grauel
01058074	Heinkenborstel	01058074	Heinkenborstel
01058085	Jahrsdorf	01058085	Jahrsdorf
01058103	Meezen	01058103	Meezen
01058106	Mörel	01058106	Mörel
01058113	Nienborstel	01058113	Nienborstel
01058115	Nindorf	01058115	Nindorf
01058125	Osterstedt	01058125	Osterstedt
01058131	Rade b. Hohenwestedt	01058131	Rade b. Hohenwestedt
01058134	Remmels	01058134	Remmels
01058159	Tappendorf	01058159	Tappendorf
01058164	Todenbüttel	01058164	Todenbüttel
01058167	Wapelfeld	01058167	Wapelfeld
07231086	Minheim	07231086	Minheim
07231092	Neumagen-Dhron	07231092	Neumagen-Dhron
07231105	Piesport	07231105	Piesport
07235207	Trittenheim	07231207	Trittenheim
08315048	Hartheim am Rhein	08315048	Hartheim
13075127	Spantekow	13075100	Neuendorf B
13072015	Blankenhagen	13072070	Mandelshagen
13076162	Zölkow	13076059	Groß Niendorf
13071172	Peenehagen	13071052	Groß Gievitz
13071172	Peenehagen	13071062	Hinrichshagen
13071172	Peenehagen	13071085	Lansen-Schönau
13075015	Boldekow	13075112	Putzar
13075029	Ducherow	13075099	Neuendorf A
