ags_new	name_new	ags_old	name_old
01056019	Haselau	01056019	Haselau
01056020	Haseldorf	01056020	Haseldorf
01056027	Hetlingen	01056027	Hetlingen
01056001	Appen	01056001	Appen
01056016	Groß Nordende	01056016	Groß Nordende
01056023	Heidgraben	01056023	Heidgraben
01056024	Heist	01056024	Heist
01056028	Holm	01056028	Holm
01056036	Moorrege	01056036	Moorrege
01056037	Neuendeich	01056037	Neuendeich
07133003	Altenbamberg	07133003	Altenbamberg
07133027	Duchroth	07133027	Duchroth
07133030	Feilbingert	07133030	Feilbingert
07133039	Hallgarten	07133039	Hallgarten
07133045	Hochstätten	07133045	Hochstätten
07133070	Niederhausen	07133070	Niederhausen
07133071	Norheim	07133071	Norheim
07133074	Oberhausen an der Nahe	07133074	Oberhausen an der Nahe
07133105	Traisen	07133105	Traisen
07132002	Alsdorf	07132002	Alsdorf
07132006	Betzdorf, Stadt	07132006	Betzdorf, Stadt
07132042	Grünebach	07132042	Grünebach
07132098	Scheuerfeld	07132098	Scheuerfeld
07132111	Wallmenroth	07132111	Wallmenroth
07132020	Dickendorf	07132020	Dickendorf
07132024	Elben	07132024	Elben
07132025	Elkenroth	07132025	Elkenroth
07132030	Fensdorf	07132030	Fensdorf
07132039	Gebhardshain	07132039	Gebhardshain
07132059	Kausen	07132059	Kausen
07132066	Malberg	07132066	Malberg
07132071	Molzhain	07132071	Molzhain
07132073	Nauroth	07132073	Nauroth
07132095	Rosenheim (Landkreis Altenkirchen)	07132095	Rosenheim (Landkreis Altenkirchen)
07132107	Steinebach/ Sieg	07132107	Steinebach/ Sieg
07132108	Steineroth	07132108	Steineroth
07336008	Börsborn	07336008	Börsborn
07336031	Glan-Münchweiler	07336031	Glan-Münchweiler
07336037	Henschtal	07336037	Henschtal
07336041	Herschweiler-Pettersheim	07336041	Herschweiler-Pettersheim
07336047	Hüffler	07336047	Hüffler
07336054	Krottelbach	07336054	Krottelbach
07336056	Langenbach	07336056	Langenbach
07336064	Nanzdietschweiler	07336064	Nanzdietschweiler
07336082	Rehweiler	07336082	Rehweiler
07336096	Steinbach am Glan	07336096	Steinbach am Glan
07336101	Wahnwegen	07336101	Wahnwegen
07336107	Matzenbach	07336107	Matzenbach
07336501	Quirnbach/ Pfalz	07336501	Quirnbach/ Pfalz
07336004	Altenkirchen	07336004	Altenkirchen
07336011	Brücken (Pfalz)	07336011	Brücken (Pfalz)
07336016	Dittweiler	07336016	Dittweiler
07336027	Frohnhofen	07336027	Frohnhofen
07336032	Gries	07336032	Gries
07336076	Ohmbach	07336076	Ohmbach
07336092	Schönenberg-Kübelberg	07336092	Schönenberg-Kübelberg
07336010	Breitenbach	07336010	Breitenbach
07336017	Dunzweiler	07336017	Dunzweiler
07336102	Waldmohr	07336102	Waldmohr
09174135	Odelzhausen	09174135	Odelzhausen
09174137	Pfaffenhofen a.d.Glonn	09174137	Pfaffenhofen a.d.Glonn
09174146	Sulzemoos	09174146	Sulzemoos
14521460	Olbernhau, Stadt	14521470	Pfaffroda
14523450	Weischlitz	14523350	Reuth
14523450	Weischlitz	14523450	Weischlitz
14625200	Großröhrsdorf, Stadt	14625050	Bretnig-Hauswalde
14625200	Großröhrsdorf, Stadt	14625200	Großröhrsdorf, Stadt
09377127	Immenreuth	09377444	Gdefr. Geb. (Lkr Tirschenreuth)
09377133	Kulmain	09377444	Gdefr. Geb. (Lkr Tirschenreuth)
09377113	Brand	09377444	Gdefr. Geb. (Lkr Tirschenreuth)
06432015	Münster (Hessen)	06432015	Münster
03454057	Werlte, Stadt	03454057	Werlte
16067064	Bad Tabarz	16067064	Tabarz/Thür. Wald
03154028	Helmstedt, Stadt	03154003	Büddenstedt
03154028	Helmstedt, Stadt	03154010	Helmstedt, Stadt
14729150	Geithain, Stadt	14729150	Geithain, Stadt
14729150	Geithain, Stadt	14729290	Narsdorf
07132018	Daaden, Stadt	07132018	Daaden
14626250	Krauschwitz i.d. O.L.	14626250	Krauschwitz
