ags_new	name_new	ags_old	name_old
01056005	Bönningstedt	01056005	Bönningstedt
01056021	Hasloh	01056021	Hasloh
01061097	Schenefeld	01061099	Siezbüttel
01059185	Mittelangeln	01059038	Havetoftloit
01059185	Mittelangeln	01059069	Rüde
01059185	Mittelangeln	01059071	Satrup
01059186	Steinbergkirche	01059153	Quern
01059186	Steinbergkirche	01059165	Steinbergkirche
01059187	Boren	01059011	Boren
01059187	Boren	01059022	Ekenis
01059187	Boren	01059047	Kiesby
03156017	Bad Grund (Harz)	03156001	Bad Grund (Harz), Bergstadt
03156017	Bad Grund (Harz)	03156004	Badenhausen
03156017	Bad Grund (Harz)	03156005	Eisdorf
03156017	Bad Grund (Harz)	03156007	Gittelde, Flecken
03156017	Bad Grund (Harz)	03156014	Windhausen
03155013	Einbeck, Stadt	03155004	Einbeck, Stadt
03155013	Einbeck, Stadt	03155008	Kreiensen
05166008	Grefrath, Sport- und Freizeitgemeinde	05166008	Grefrath
05334024	Roetgen, Tor zur Eifel	05334024	Roetgen
09177117	Erding, GKSt	09177117	Erding, St
09471191	Stegaurach	09471191	Stegaurach
09471208	Walsdorf	09471208	Walsdorf
12061097	Drahnsdorf	12061097	Drahnsdorf
12061164	Golßen, Stadt	12061164	Golßen, Stadt
12061244	Kasel-Golzig	12061244	Kasel-Golzig
12061471	Steinreich	12061471	Steinreich
13071103	Moltzow	13071134	Schwinkendorf
13071047	Grabowhöfe	13071151	Vielist
13072019	Broderstorf	13072100	Steinfeld
14521355	Lauter-Bernsbach, Stadt	14521070	Bernsbach
14521355	Lauter-Bernsbach, Stadt	14521350	Lauter/Sa., Stadt
14521380	Lugau/Erzgeb., Stadt	14521190	Erlbach-Kirchberg
14521710	Zwönitz, Stadt	14521300	Hormersdorf
14522510	Roßwein, Stadt	14522410	Niederstriegis
14522510	Roßwein, Stadt	14522510	Roßwein, Stadt
14522570	Waldheim, Stadt	14522570	Waldheim, Stadt
14522080	Döbeln, Stadt	14522610	Ziegra-Knobelsdorf
14522570	Waldheim, Stadt	14522610	Ziegra-Knobelsdorf
14523160	Klingenthal, Stadt	14523160	Klingenthal, Stadt
14523160	Klingenthal, Stadt	14523470	Zwota
14523310	Pausa/Vogtl., Stadt	14523240	Mühltroff, Stadt
14625340	Malschwitz	14625210	Guttau
14625340	Malschwitz	14625340	Malschwitz
14626180	Herrnhut, Stadt	14626040	Berthelsdorf
14626180	Herrnhut, Stadt	14626180	Herrnhut, Stadt
14626245	Kottmar	14626090	Eibau
14626245	Kottmar	14626360	Niedercunnersdorf
14626245	Kottmar	14626380	Obercunnersdorf
14627050	Gröditz, Stadt	14627050	Gröditz, Stadt
14627050	Gröditz, Stadt	14627160	Nauwalde
14730045	Belgern-Schildau, Stadt	14730040	Belgern, Stadt
14730045	Belgern-Schildau, Stadt	14730260	Schildau, Gneisenaustadt, Stadt
14730310	Torgau, Stadt	14730350	Zinna
14730340	Wiedemar	14730220	Neukyhna
14730340	Wiedemar	14730340	Wiedemar
14730340	Wiedemar	14730370	Zwochau
06631002	Burghaun, Marktgemeinde	06631002	Burghaun
06631007	Eiterfeld, Marktgemeinde	06631007	Eiterfeld
06632015	Niederaula, Marktgemeinde	06632015	Niederaula
06632016	Philippsthal (Werra), Marktgemeinde	06632016	Philippsthal (Werra)
07231090	Mülheim an der Mosel	07231090	Mülheim (Mosel)
12061540	Wildau, Stadt	12061540	Wildau
07339043	Nierstein, Stadt	07339043	Nierstein
06433005	Ginsheim-Gustavsburg, Stadt	06433005	Ginsheim-Gustavsburg
06635015	Korbach, Hansestadt	06635015	Korbach, Kreisstadt
05378016	Leichlingen (Rheinland), Blütenstadt	05378016	Leichlingen (Rheinland), Stadt
05554016	Gescher, Glockenstadt	05554016	Gescher, Stadt
05754016	Harsewinkel, Die Mähdrescherstadt	05754016	Harsewinkel, Stadt
05758012	Herford, Hansestadt	05758012	Herford, Stadt
03158039	Schladen-Werla	03158015	Gielde
03158039	Schladen-Werla	03158020	Hornburg, Stadt
03158039	Schladen-Werla	03158026	Schladen
