ags_new	name_new	ags_old	name_old
03255003	Bodenwerder, Stadt	03255003	Bodenwerder, Stadt
03255016	Halle	03255016	Halle
03255017	Hehlen	03255017	Hehlen
03255020	Heyen	03255020	Heyen
03255025	Kirchbrak	03255025	Kirchbrak
03255032	Pegestorf	03255032	Pegestorf
03255005	Brevörde	03255005	Brevörde
03255019	Heinsen	03255019	Heinsen
03255031	Ottenstein, Flecken	03255031	Ottenstein, Flecken
03255033	Polle, Flecken	03255033	Polle, Flecken
03255035	Vahlbruch	03255035	Vahlbruch
06435014	Hanau, Brüder-Grimm-Stadt	06435014	Hanau, Stadt
06435028	Steinau an der Straße, Brüder-Grimm-Stadt	06435028	Steinau an der Straße, Stadt
06533015	Villmar, Marktflecken	06533015	Villmar
13056010	Fincken	13056025	Jaebetz
13059002	Anklam, Stadt	13059076	Pelsin
13059028	Gützkow, Stadt	13059058	Lüssow
14521150	Drebach	14521150	Drebach
14521150	Drebach	14521650	Venusberg
14626180	Herrnhut, Stadt	14626550	Strahwalde
14627060	Großenhain, Stadt	14627350	Zabeltitz
15081030	Arendsee (Altmark), Stadt	15081030	Arendsee (Altmark), Stadt
15081240	Kalbe (Milde), Stadt	15081085	Brunau
15081240	Kalbe (Milde), Stadt	15081120	Engersen
15081030	Arendsee (Altmark), Stadt	15081175	Höwisch
15081240	Kalbe (Milde), Stadt	15081200	Jeetze
15081240	Kalbe (Milde), Stadt	15081235	Kakerbeck
15081240	Kalbe (Milde), Stadt	15081240	Kalbe (Milde), Stadt
15081030	Arendsee (Altmark), Stadt	15081260	Kläden
15081030	Arendsee (Altmark), Stadt	15081270	Kleinau
15081030	Arendsee (Altmark), Stadt	15081315	Leppin
15081030	Arendsee (Altmark), Stadt	15081390	Neulingen
15081240	Kalbe (Milde), Stadt	15081400	Packebusch
15081030	Arendsee (Altmark), Stadt	15081460	Sanne-Kerkuhn
15081030	Arendsee (Altmark), Stadt	15081470	Schrampe
15081030	Arendsee (Altmark), Stadt	15081520	Thielbeer
15081240	Kalbe (Milde), Stadt	15081535	Vienau
15081030	Arendsee (Altmark), Stadt	15081595	Ziemendorf
15081030	Arendsee (Altmark), Stadt	15081065	Binde
15081030	Arendsee (Altmark), Stadt	15081250	Kaulitz
15081030	Arendsee (Altmark), Stadt	15081255	Kerkau
15081026	Apenburg-Winterfeld, Flecken	15081026	Apenburg-Winterfeld, Flecken
15081045	Beetzendorf	15081045	Beetzendorf
15081225	Jübar	15081075	Bornsen
15081095	Dähre	15081095	Dähre
15081105	Diesdorf, Flecken	15081105	Diesdorf, Flecken
15081225	Jübar	15081150	Hanum
15081225	Jübar	15081225	Jübar
15081455	Salzwedel, Hansestadt	15081310	Langenapel
15081225	Jübar	15081335	Lüdelsen
15081345	Mehmke	15081345	Mehmke
15081225	Jübar	15081365	Nettgau
15081105	Diesdorf, Flecken	15081370	Neuekrug
15081440	Rohrberg	15081440	Rohrberg
15081545	Wallstawe 	15081545	Wallstawe 
15081455	Salzwedel, Hansestadt	15081090	Chüden
15081455	Salzwedel, Hansestadt	15081160	Henningen
15081455	Salzwedel, Hansestadt	15081265	Klein Gartz
15081290	Kuhfelde	15081290	Kuhfelde
15081455	Salzwedel, Hansestadt	15081325	Liesten
15081455	Salzwedel, Hansestadt	15081395	Osterwohle
15081455	Salzwedel, Hansestadt	15081415	Pretzier
15081455	Salzwedel, Hansestadt	15081430	Riebau
15081455	Salzwedel, Hansestadt	15081480	Seebenau
15081455	Salzwedel, Hansestadt	15081525	Tylsen
15081135	Gardelegen, Hansestadt	15081220	Jeseritz
15081135	Gardelegen, Hansestadt	15081410	Potzehne
15081135	Gardelegen, Hansestadt	15081445	Roxförde
15081135	Gardelegen, Hansestadt	15081550	Wannefeld
15081135	Gardelegen, Hansestadt	15081570	Wiepke
15081135	Gardelegen, Hansestadt	15081590	Zichtau
15081280	Klötze, Stadt	15081110	Dönitz
15081280	Klötze, Stadt	15081180	Immekath
15081280	Klötze, Stadt	15081185	Jahrstedt
15081280	Klötze, Stadt	15081280	Klötze, Stadt
15081280	Klötze, Stadt	15081295	Kunrau
15081280	Klötze, Stadt	15081300	Kusey
15081280	Klötze, Stadt	15081375	Neuendorf
15081280	Klötze, Stadt	15081385	Neuferchau
15081280	Klötze, Stadt	15081435	Ristedt
15081280	Klötze, Stadt	15081475	Schwiesau
15081280	Klötze, Stadt	15081505	Steimke
15081280	Klötze, Stadt	15081555	Wenze
15082430	Zerbst/Anhalt, Stadt	15082025	Bornum
15082430	Zerbst/Anhalt, Stadt	15082035	Buhlendorf
15082430	Zerbst/Anhalt, Stadt	15082050	Deetz
15082430	Zerbst/Anhalt, Stadt	15082060	Dobritz
15082430	Zerbst/Anhalt, Stadt	15082095	Gehrden
15082430	Zerbst/Anhalt, Stadt	15082110	Gödnitz
15082430	Zerbst/Anhalt, Stadt	15082125	Grimme
15082430	Zerbst/Anhalt, Stadt	15082150	Güterglück
15082430	Zerbst/Anhalt, Stadt	15082160	Hohenlepte
15082430	Zerbst/Anhalt, Stadt	15082170	Jütrichau
15082430	Zerbst/Anhalt, Stadt	15082190	Leps
15082430	Zerbst/Anhalt, Stadt	15082205	Lindau, Stadt
15082430	Zerbst/Anhalt, Stadt	15082230	Moritz
15082430	Zerbst/Anhalt, Stadt	15082245	Nedlitz
15082430	Zerbst/Anhalt, Stadt	15082250	Nutha
15082430	Zerbst/Anhalt, Stadt	15082275	Polenzko
15082430	Zerbst/Anhalt, Stadt	15082315	Reuden/Anhalt
15082430	Zerbst/Anhalt, Stadt	15082370	Steutz
15082430	Zerbst/Anhalt, Stadt	15082375	Straguth
15082430	Zerbst/Anhalt, Stadt	15082400	Walternienburg
15082430	Zerbst/Anhalt, Stadt	15082435	Zernitz
15082015	Bitterfeld-Wolfen, Stadt	15082015	Bitterfeld-Wolfen, Stadt
