ags_new	name_new	ags_old	name_old
15091010	Annaburg, Stadt	15091190	Labrun
15091010	Annaburg, Stadt	15091195	Lebien
15091010	Annaburg, Stadt	15091245	Plossig
15091010	Annaburg, Stadt	15091250	Prettin, Stadt
15091110	Gräfenhainichen, Stadt	15091110	Gräfenhainichen, Stadt
15091110	Gräfenhainichen, Stadt	15091220	Möhlau
15091110	Gräfenhainichen, Stadt	15091295	Schköna
15091110	Gräfenhainichen, Stadt	15091350	Tornau
15091110	Gräfenhainichen, Stadt	15091405	Zschornewitz
15091241	Oranienbaum-Wörlitz, Stadt	15091035	Brandhorst
15091241	Oranienbaum-Wörlitz, Stadt	15091105	Gohrau
15091241	Oranienbaum-Wörlitz, Stadt	15091120	Griesen
15091241	Oranienbaum-Wörlitz, Stadt	15091130	Horstdorf
15091241	Oranienbaum-Wörlitz, Stadt	15091155	Kakau
15091241	Oranienbaum-Wörlitz, Stadt	15091240	Oranienbaum, Stadt
15091241	Oranienbaum-Wörlitz, Stadt	15091280	Rehsen
15091241	Oranienbaum-Wörlitz, Stadt	15091285	Riesigk
15091241	Oranienbaum-Wörlitz, Stadt	15091365	Vockerode
15091241	Oranienbaum-Wörlitz, Stadt	15091380	Wörlitz, Stadt
15091391	Zahna-Elster, Stadt	15091070	Dietrichsdorf
15091391	Zahna-Elster, Stadt	15091085	Elster (Elbe)
15091391	Zahna-Elster, Stadt	15091095	Gadegast
15091145	Jessen (Elster), Stadt	15091170	Klöden
15091391	Zahna-Elster, Stadt	15091200	Leetza
15091391	Zahna-Elster, Stadt	15091205	Listerfehrda
15091391	Zahna-Elster, Stadt	15091230	Mühlanger
15091145	Jessen (Elster), Stadt	15091310	Schützberg
15091391	Zahna-Elster, Stadt	15091390	Zahna, Stadt
15091391	Zahna-Elster, Stadt	15091395	Zemnick
15091391	Zahna-Elster, Stadt	15091400	Zörnigall
15088216	Wettin-Löbejün, Stadt	15088216	Löbejün-Wettin, Stadt
09179145	Puchheim, St	09179145	Puchheim
07232123	Speicher, Stadt	07232123	Speicher
09179142	Olching, St	09179142	Olching
13058119	Wedendorfersee	13058056	Köchelstorf
13058119	Wedendorfersee	13058107	Wedendorf
13060080	Tramm	13060025	Göhren
13058014	Boltenhagen	13058014	Boltenhagen
14522080	Döbeln, Stadt	14522080	Döbeln, Stadt
14522080	Döbeln, Stadt	14522100	Ebersbach
15084013	Meineweh	15084013	Anhalt Süd
05754044	Verl, Stadt	05754044	Verl
05362016	Elsdorf, Stadt	05362016	Elsdorf
