ags_new	name_new	ags_old	name_old
12071372	Spremberg, Stadt	12071185	Hornow-Wadelsdorf
14522080	Döbeln, Stadt	14522370	Mochau
14523340	Reichenbach im Vogtland, Stadt	14523250	Mylau, Stadt
14627290	Thiendorf	14627280	Tauscha
14627290	Thiendorf	14627290	Thiendorf
13076167	Kloster Tempzin	13076081	Langen Jarchow
13076167	Kloster Tempzin	13076157	Zahrensdorf
13076050	Grabow, Stadt	13076127	Steesow
03360025	Uelzen, Hansestadt	03360025	Uelzen, Stadt
06631012	Hilders, Marktgemeinde	06631012	Hilders
03159001	Adelebsen, Flecken	03152001	Adelebsen, Flecken
03159007	Bovenden, Flecken	03152004	Bovenden, Flecken
03159010	Duderstadt, Stadt	03152007	Duderstadt, Stadt
03159013	Friedland	03152009	Friedland
03159015	Gleichen	03152011	Gleichen
03159016	Göttingen, Stadt	03152012	Göttingen, Stadt
03159017	Hann. Münden, Stadt	03152016	Hann. Münden, Stadt
03159029	Rosdorf	03152021	Rosdorf
03159034	Staufenberg	03152026	Staufenberg
03159008	Bühren	03152005	Bühren
03159009	Dransfeld, Stadt	03152006	Dransfeld, Stadt
03159021	Jühnde	03152013	Jühnde
03159024	Niemetal	03152017	Niemetal
03159031	Scheden	03152023	Scheden
03159005	Bilshausen	03152002	Bilshausen
03159006	Bodensee	03152003	Bodensee
03159014	Gieboldehausen, Flecken	03152010	Gieboldehausen, Flecken
03159022	Krebeck	03152014	Krebeck
03159025	Obernfeld	03152018	Obernfeld
03159027	Rhumspringe	03152019	Rhumspringe
03159028	Rollshausen	03152020	Rollshausen
03159030	Rüdershausen	03152022	Rüdershausen
03159037	Wollbrandshausen	03152028	Wollbrandshausen
03159038	Wollershausen	03152029	Wollershausen
03159011	Ebergötzen	03152008	Ebergötzen
03159023	Landolfshausen	03152015	Landolfshausen
03159032	Seeburg	03152024	Seeburg
03159033	Seulingen	03152025	Seulingen
03159035	Waake	03152027	Waake
03154027	Söllingen	03154011	Ingeleben
03154027	Söllingen	03154020	Söllingen
03154027	Söllingen	03154023	Twieflingen
03159003	Bad Lauterberg im Harz, Stadt	03156002	Bad Lauterberg im Harz, Stadt
03159004	Bad Sachsa, Stadt	03156003	Bad Sachsa, Stadt
03159019	Herzberg am Harz, Stadt	03156009	Herzberg am Harz, Stadt
03159026	Osterode am Harz, Stadt	03156011	Osterode am Harz, Stadt
03159002	Bad Grund (Harz)	03156017	Bad Grund (Harz)
03159012	Elbingerode	03156006	Elbingerode
03159018	Hattorf am Harz	03156008	Hattorf am Harz
03159020	Hörden am Harz	03156010	Hörden am Harz
03159039	Wulften am Harz	03156015	Wulften am Harz
03159036	Walkenried	03156012	Walkenried
03159036	Walkenried	03156013	Wieda
03159036	Walkenried	03156016	Zorge
03158040	Remlingen-Semmenstedt	03158024	Remlingen
03158040	Remlingen-Semmenstedt	03158029	Semmenstedt
03251049	Bruchhausen-Vilsen, Flecken	03251039	Süstedt
03251049	Bruchhausen-Vilsen, Flecken	03251048	Bruchhausen-Vilsen, Flecken
03254042	Freden (Leine)	03254015	Everode
03254042	Freden (Leine)	03254016	Freden (Leine)
03254042	Freden (Leine)	03254024	Landwehr
03254042	Freden (Leine)	03254034	Winzenburg
03254043	Gronau (Leine), Stadt	03254006	Banteln
03254043	Gronau (Leine), Stadt	03254007	Betheln
03254043	Gronau (Leine), Stadt	03254009	Brüggen
03254043	Gronau (Leine), Stadt	03254010	Despetal
03254013	Eime, Flecken	03254013	Eime, Flecken
03254043	Gronau (Leine), Stadt	03254018	Gronau (Leine), Stadt
03254043	Gronau (Leine), Stadt	03254027	Rheden
03254044	Lamspringe	03254019	Harbarnsen
03254044	Lamspringe	03254023	Lamspringe, Flecken
03254044	Lamspringe	03254025	Neuhof
03254044	Lamspringe	03254030	Sehlem
03254044	Lamspringe	03254035	Woltershausen
03254045	Sibbesse	03254001	Adenstedt
03254045	Sibbesse	03254004	Almstedt
03254045	Sibbesse	03254012	Eberholzen
03254045	Sibbesse	03254031	Sibbesse
03254045	Sibbesse	03254033	Westfeld
03254041	Duingen, Flecken	03254036	Coppengrave
03254041	Duingen, Flecken	03254037	Duingen, Flecken
03254041	Duingen, Flecken	03254038	Hoyershausen
03254041	Duingen, Flecken	03254039	Marienhagen
03254041	Duingen, Flecken	03254040	Weenzen
03352004	Belum	03352004	Belum
03352008	Bülkau	03352008	Bülkau
03352063	Cadenberge	03352009	Cadenberge
03352063	Cadenberge	03352018	Geversdorf
03352039	Neuhaus (Oste), Flecken	03352039	Neuhaus (Oste), Flecken
03352042	Oberndorf	03352042	Oberndorf
03352056	Wingst	03352056	Wingst
03352025	Ihlienworth	03352025	Ihlienworth
03352038	Neuenkirchen	03352038	Neuenkirchen
03352041	Nordleda	03352041	Nordleda
03352043	Odisheim	03352043	Odisheim
03352045	Osterbruch	03352045	Osterbruch
03352046	Otterndorf, Stadt	03352046	Otterndorf, Stadt
03352051	Steinau	03352051	Steinau
03352055	Wanna	03352055	Wanna
15085235	Quedlinburg, Welterbestadt	15085235	Quedlinburg, Stadt
06439008	Idstein, Hochschulstadt	06439008	Idstein, Stadt
06635015	Korbach, Hansestadt, Kreisstadt	06635015	Korbach, Hansestadt
