name	area	pop_sum	pop_m	pop_w	pop_p_km2	plz	lat	lng	urb_key	urb_class	ags_new_x	ags_new_y	name_new	ags_old	name_old
Neunkirchen	16,65	1511,0	761,0	750,0	91,0	63930	9,398533	49,706531	03	gering besiedelt	09676143				
Kleinheubach, M	9,49	3657,0	1813,0	1844,0	385,0	63924	9,209407	49,719166	02	mittlere Besiedlungsdichte	09676132				
Laudenbach	4,94	1424,0	711,0	713,0	288,0	63925	9,173847	49,744751	03	gering besiedelt	09676135				
Rüdenau	4,01	749,0	369,0	380,0	187,0	63924	9,180702	49,711322	03	gering besiedelt	09676153				
Hausen	8,06	1859,0	936,0	923,0	231,0	63840	9,209492	49,869813	03	gering besiedelt	09676128				
Kleinwallstadt, M	15,8	5781,0	2817,0	2964,0	366,0	63839	9,166624	49,872351	02	mittlere Besiedlungsdichte	09676133				
Mönchberg, M	24,15	2596,0	1304,0	1292,0	107,0	63933	9,266743	49,792408	03	gering besiedelt	09676141				
Röllbach	12,42	1692,0	861,0	831,0	136,0	63934	9,247397	49,773849	03	gering besiedelt	09676151				
Altenbuch	37,66	1242,0	614,0	628,0	33,0	97901	9,401534	49,827992	03	gering besiedelt	09676111				
Stadtprozelten, St	10,87	1550,0	803,0	747,0	143,0	97909	9,408401	49,783331	03	gering besiedelt	09676158				
Gdefr. Geb. (Lkr Miltenberg)	8,79	0,0	0,0	0,0	0,0		9,264481	49,914347	03	gering besiedelt	09676444				
Arnstein, St	112,11	8161,0	4132,0	4029,0	73,0	97450	9,966942	49,978736	03	gering besiedelt	09677114				
Eußenheim	56,81	3194,0	1631,0	1563,0	56,0	97776	9,808713	49,989568	03	gering besiedelt	09677127				
Frammersbach, M	19,2	4545,0	2295,0	2250,0	237,0	97833	9,470432	50,063544	03	gering besiedelt	09677129				
Gemünden a.Main, St	75,1	10069,0	5016,0	5053,0	134,0	97737	9,700757	50,051307	02	mittlere Besiedlungsdichte	09677131				
Karlstadt, St	98,18	14808,0	7290,0	7518,0	151,0	97753	9,764132	49,962153	02	mittlere Besiedlungsdichte	09677148				
Triefenstein, M	25,48	4332,0	2167,0	2165,0	170,0	97855	9,602788	49,811476	03	gering besiedelt	09677154				
Lohr a.Main, St	90,43	15060,0	7427,0	7633,0	167,0	97816	9,575872	49,993219	02	mittlere Besiedlungsdichte	09677155				
Marktheidenfeld, St	35,71	10967,0	5322,0	5645,0	307,0	97828	9,600307	49,844144	02	mittlere Besiedlungsdichte	09677157				
Rieneck, St	26,2	1987,0	966,0	1021,0	76,0	97794	9,648272	50,093154	03	gering besiedelt	09677177				
Hasloch	10,38	1398,0	734,0	664,0	135,0	97907	9,491265	49,793076	02	mittlere Besiedlungsdichte	09677137				
Kreuzwertheim, M	19,98	3819,0	1897,0	1922,0	191,0	97892	9,515263	49,766448	02	mittlere Besiedlungsdichte	09677151				
Schollbrunn	12,29	955,0	508,0	447,0	78,0	97852	9,463565	49,835206	03	gering besiedelt	09677182				
Birkenfeld	29,15	2121,0	1087,0	1034,0	73,0	97834	9,694672	49,858627	03	gering besiedelt	09677119				
Bischbrunn	36,95	1796,0	903,0	893,0	49,0	97836	9,492085	49,868565	03	gering besiedelt	09677120				
Erlenbach b.Marktheidenfeld	15,31	2364,0	1193,0	1171,0	154,0	97837	9,626853	49,819185	02	mittlere Besiedlungsdichte	09677125				
Esselbach	11,93	2051,0	978,0	1073,0	172,0	97839	9,52914	49,852286	03	gering besiedelt	09677126				
Hafenlohr	11,33	1860,0	946,0	914,0	164,0	97840	9,603567	49,869021	02	mittlere Besiedlungsdichte	09677135				
Karbach, M	24,15	1439,0	711,0	728,0	60,0	97842	9,637912	49,867316	03	gering besiedelt	09677146				
Roden	20,06	1006,0	518,0	488,0	50,0	97849	9,626192	49,89529	03	gering besiedelt	09677178				
