name	area	pop_sum	pop_m	pop_w	pop_p_km2	plz	lat	lng	urb_key	urb_class	ags_new_x	ags_new_y	name_new	ags_old	name_old
Woltersdorf	7,9	294,0	149,0	145,0	37,0	21516	10,640176	53,576862	03	gering besiedelt	01053134				
Besenthal	12,65	88,0	49,0	39,0	7,0	23899	10,743239	53,530139	03	gering besiedelt	01053010				
Bröthen	10,69	292,0	155,0	137,0	27,0	21514	10,667504	53,480409	03	gering besiedelt	01053015				
Büchen	16,85	5686,0	2787,0	2899,0	337,0	21514	10,616482	53,480926	03	gering besiedelt	01053020				
Fitzen	9,11	349,0	182,0	167,0	38,0	21514	10,64667	53,493942	03	gering besiedelt	01053029				
Göttin	5,21	62,0	32,0	30,0	12,0	21514	10,70343	53,533746	03	gering besiedelt	01053035				
Gudow	42,26	1613,0	807,0	806,0	38,0	23899	10,77219	53,555336	03	gering besiedelt	01053046				
Güster	7,78	1261,0	635,0	626,0	162,0	21514	10,680583	53,53952	03	gering besiedelt	01053048				
Klein Pampau	4,17	645,0	328,0	317,0	155,0	21514	10,586656	53,512681	03	gering besiedelt	01053064				
Langenlehsten	23,37	163,0	82,0	81,0	7,0	21514	10,740373	53,499816	03	gering besiedelt	01053080				
Müssen	11,46	1117,0	554,0	563,0	97,0	21516	10,562042	53,494949	03	gering besiedelt	01053092				
Roseburg	16,23	518,0	259,0	259,0	32,0	21514	10,625016	53,531303	03	gering besiedelt	01053104				
Schulendorf	11,39	454,0	233,0	221,0	40,0	21516	10,561815	53,47331	03	gering besiedelt	01053115				
Siebeneichen	4,68	243,0	119,0	124,0	52,0	21514	10,618693	53,510828	03	gering besiedelt	01053119				
Tramm	6,75	362,0	183,0	179,0	54,0	21516	10,614693	53,56324	03	gering besiedelt	01053126				
Witzeeze	10,46	885,0	399,0	486,0	85,0	21514	10,610144	53,452652	03	gering besiedelt	01053132				
Aumühle	3,48	3156,0	1485,0	1671,0	907,0	21521	10,313492	53,528598	02	mittlere Besiedlungsdichte	01053003				
Börnsen	8,42	4431,0	2212,0	2219,0	526,0	21039	10,285497	53,476625	02	mittlere Besiedlungsdichte	01053012				
Dassendorf	7,95	3255,0	1634,0	1621,0	409,0	21521	10,372665	53,488608	03	gering besiedelt	01053023				
Escheburg	8,91	3431,0	1719,0	1712,0	385,0	21039	10,309429	53,46713	02	mittlere Besiedlungsdichte	01053028				
Hamwarde	6,68	843,0	411,0	432,0	126,0	21502	10,421397	53,452847	03	gering besiedelt	01053050				
Hohenhorn	6,93	526,0	281,0	245,0	76,0	21526	10,367611	53,475734	03	gering besiedelt	01053053				
Kröppelshagen-Fahrendorf	8,37	1270,0	643,0	627,0	152,0	21529	10,315197	53,488589	03	gering besiedelt	01053072				
Wiershop	5,15	192,0	104,0	88,0	37,0	21502	10,451895	53,442501	03	gering besiedelt	01053131				
Wohltorf	5,97	2410,0	1191,0	1219,0	404,0	21521	10,291254	53,517253	02	mittlere Besiedlungsdichte	01053133				
Worth	6,07	168,0	83,0	85,0	28,0	21502	10,40988	53,467424	03	gering besiedelt	01053135				
Basedow	7,47	651,0	333,0	318,0	87,0	21483	10,583592	53,416151	03	gering besiedelt	01053006				
Buchhorst	5,19	164,0	81,0	83,0	32,0	21481	10,568335	53,384993	03	gering besiedelt	01053019				
Dalldorf	6,05	372,0	193,0	179,0	61,0	21483	10,610487	53,435521	03	gering besiedelt	01053022				
Juliusburg	6,04	176,0	82,0	94,0	29,0	21483	10,506484	53,41715	03	gering besiedelt	01053058				
Krüzen	8,25	368,0	170,0	198,0	45,0	21483	10,527113	53,401518	03	gering besiedelt	01053073				
Krukow	7,94	148,0	74,0	74,0	19,0	21483	10,478187	53,418864	03	gering besiedelt	01053074				
Lanze	9,05	280,0	145,0	135,0	31,0	21483	10,604387	53,386341	03	gering besiedelt	01053082				
Lütau	11,24	691,0	352,0	339,0	61,0	21483	10,545404	53,435861	03	gering besiedelt	01053087				
Schnakenbek	13,02	853,0	411,0	442,0	66,0	21481	10,50018	53,385426	03	gering besiedelt	01053111				
Wangelau	6,52	211,0	105,0	106,0	32,0	21483	10,546567	53,453726	03	gering besiedelt	01053128				
Albsfelde	4,18	76,0	38,0	38,0	18,0	23909	10,694451	53,679957	03	gering besiedelt	01053001				
Bäk	4,3	881,0	418,0	463,0	205,0	23909	10,787081	53,716345	03	gering besiedelt	01053004				
Brunsmark	4,29	154,0	78,0	76,0	36,0	23883	10,750236	53,617106	03	gering besiedelt	01053016				
Buchholz	2,93	235,0	119,0	116,0	80,0	23911	10,745377	53,731393	03	gering besiedelt	01053018				
Einhaus	2,53	391,0	192,0	199,0	155,0	23911	10,725697	53,714136	03	gering besiedelt	01053026				
Fredeburg	10,09	42,0	22,0	20,0	4,0	23909	10,72727	53,674253	03	gering besiedelt	01053030				
Giesensdorf	2,73	153,0	69,0	84,0	56,0	23909	10,713651	53,688273	03	gering besiedelt	01053033				
Groß Disnack	5,99	79,0	42,0	37,0	13,0	23911	10,69059	53,741974	03	gering besiedelt	01053040				
Groß Grönau	4,9	3692,0	1804,0	1888,0	753,0	23627	10,750476	53,801387	02	mittlere Besiedlungsdichte	01053041				
Groß Sarau	17,08	961,0	468,0	493,0	56,0	23627	10,737505	53,771586	03	gering besiedelt	01053043				
Harmsdorf	3,57	308,0	154,0	154,0	86,0	23911	10,725868	53,700407	03	gering besiedelt	01053051				
Hollenbek	7,21	432,0	228,0	204,0	60,0	23883	10,819794	53,592298	03	gering besiedelt	01053054				
Horst	11,93	211,0	105,0	106,0	18,0	23883	10,77065	53,638591	03	gering besiedelt	01053057				
Kittlitz	17,73	241,0	131,0	110,0	14,0	23911	10,918869	53,664244	03	gering besiedelt	01053062				
Klein Zecher	9,11	250,0	120,0	130,0	27,0	23883	10,872803	53,577413	03	gering besiedelt	01053066				
Kulpin	6,07	212,0	106,0	106,0	35,0	23911	10,695812	53,71009	03	gering besiedelt	01053078				
Mechow	4,43	114,0	59,0	55,0	26,0	23909	10,801815	53,717556	03	gering besiedelt	01053088				
Mustin	11,88	761,0	369,0	392,0	64,0	23911	10,886235	53,68453	03	gering besiedelt	01053093				
Pogeez	4,51	416,0	205,0	211,0	92,0	23911	10,729435	53,750929	03	gering besiedelt	01053098				
Römnitz	5,15	55,0	33,0	22,0	11,0	23909	10,769068	53,710716	03	gering besiedelt	01053102				
Salem	25,11	594,0	295,0	299,0	24,0	23911	10,827965	53,656405	03	gering besiedelt	01053107				
Schmilau	11,55	548,0	281,0	267,0	47,0	23911	10,75597	53,664589	03	gering besiedelt	01053110				
Seedorf	27,89	512,0	261,0	251,0	18,0	23883	10,866858	53,619223	03	gering besiedelt	01053117				
Sterley	21,39	921,0	465,0	456,0	43,0	23883	10,817581	53,619988	03	gering besiedelt	01053123				
Ziethen	11,18	990,0	488,0	502,0	89,0	23911	10,809322	53,693695	02	mittlere Besiedlungsdichte	01053136				
Basthorst	10,82	415,0	212,0	203,0	38,0	21493	10,47139	53,576616	03	gering besiedelt	01053007				
Brunstorf	13,76	632,0	318,0	314,0	46,0	21524	10,425938	53,491554	03	gering besiedelt	01053017				
Dahmker	2,04	150,0	82,0	68,0	74,0	22946	10,444516	53,587821	03	gering besiedelt	01053021				
Elmenhorst	12,99	868,0	446,0	422,0	67,0	21493	10,537551	53,544876	03	gering besiedelt	01053027				
Fuhlenhagen	5,74	348,0	181,0	167,0	61,0	21493	10,5266	53,572959	03	gering besiedelt	01053031				
Grabau	4,1	328,0	160,0	168,0	80,0	21493	10,519825	53,513609	02	mittlere Besiedlungsdichte	01053036				
Groß Pampau	4,32	153,0	77,0	76,0	35,0	21493	10,560301	53,521808	03	gering besiedelt	01053042				
Grove	5,28	239,0	120,0	119,0	45,0	21493	10,492067	53,528123	03	gering besiedelt	01053045				
Gülzow	17,07	1255,0	649,0	606,0	74,0	21483	10,490939	53,442249	03	gering besiedelt	01053047				
Hamfelde	3,47	479,0	222,0	257,0	138,0	22929	10,44893	53,597194	03	gering besiedelt	01053049				
Havekost	5,91	178,0	88,0	90,0	30,0	21493	10,473088	53,539918	03	gering besiedelt	01053052				
Kankelau	4,21	206,0	102,0	104,0	49,0	21514	10,56832	53,549311	03	gering besiedelt	01053059				
Kasseburg	7,89	592,0	295,0	297,0	75,0	22929	10,415259	53,567308	03	gering besiedelt	01053060				
Köthel	1,52	270,0	139,0	131,0	178,0	22929	10,510002	53,606936	03	gering besiedelt	01053070				
Kollow	8,21	598,0	288,0	310,0	73,0	21527	10,458784	53,463155	03	gering besiedelt	01053071				
Kuddewörde	7,34	1383,0	675,0	708,0	188,0	22958	10,401901	53,587291	03	gering besiedelt	01053076				
Möhnsen	7,48	545,0	280,0	265,0	73,0	21493	10,469197	53,559974	03	gering besiedelt	01053089				
Mühlenrade	3,74	173,0	82,0	91,0	46,0	21493	10,48775	53,595838	03	gering besiedelt	01053091				
Sahms	5,94	389,0	193,0	196,0	65,0	21493	10,532723	53,525807	03	gering besiedelt	01053106				
Duvensee	12,4	556,0	263,0	293,0	45,0	23898	10,568	53,693065	03	gering besiedelt	01053025				
Grinau	2,74	300,0	157,0	143,0	109,0	23847	10,549505	53,775447	03	gering besiedelt	01053038				
Groß Boden	2,7	202,0	105,0	97,0	75,0	23847	10,452871	53,752722	03	gering besiedelt	01053039				
Groß Schenkenberg	6,52	558,0	268,0	290,0	86,0	23860	10,56488	53,793492	03	gering besiedelt	01053044				
Klinkrade	7,4	598,0	284,0	314,0	81,0	23898	10,55033	53,716092	03	gering besiedelt	01053068				
Koberg	11,98	749,0	380,0	369,0	63,0	23881	10,52596	53,639594	03	gering besiedelt	01053069				
Kühsen	7,28	375,0	187,0	188,0	52,0	23898	10,615824	53,682661	03	gering besiedelt	01053077				
Labenz	5,75	850,0	427,0	423,0	148,0	23898	10,524596	53,708352	03	gering besiedelt	01053079				
Lankau	19,12	472,0	241,0	231,0	25,0	23881	10,665092	53,668023	03	gering besiedelt	01053081				
Linau	9,66	1198,0	627,0	571,0	124,0	22959	10,46755	53,643933	03	gering besiedelt	01053085				
Lüchow	4,62	298,0	156,0	142,0	65,0	23898	10,529518	53,690744	03	gering besiedelt	01053086				
Nusse	6,22	1072,0	523,0	549,0	172,0	23896	10,575979	53,65908	03	gering besiedelt	01053096				
Panten	13,83	633,0	311,0	322,0	46,0	23896	10,61977	53,664571	03	gering besiedelt	01053097				
Poggensee	5,44	349,0	173,0	176,0	64,0	23896	10,579484	53,640102	03	gering besiedelt	01053099				
Ritzerau	11,11	281,0	143,0	138,0	25,0	23896	10,567545	53,663003	03	gering besiedelt	01053101				
Sandesneben	6,13	1792,0	898,0	894,0	292,0	23898	10,497042	53,687957	03	gering besiedelt	01053108				
Schiphorst	8,15	632,0	306,0	326,0	78,0	23847	10,461627	53,708361	03	gering besiedelt	01053109				
Schönberg	14,77	1376,0	698,0	678,0	93,0	22929	10,433054	53,677154	03	gering besiedelt	01053112				
Schürensöhlen	2,75	159,0	80,0	79,0	58,0	23847	10,47204	53,763455	03	gering besiedelt	01053114				
Siebenbäumen	8,82	621,0	328,0	293,0	70,0	23847	10,525162	53,749557	03	gering besiedelt	01053118				
Sirksfelde	8,63	325,0	169,0	156,0	38,0	23898	10,509773	53,66533	03	gering besiedelt	01053121				
Steinhorst	16,28	585,0	292,0	293,0	36,0	23847	10,483141	53,720135	03	gering besiedelt	01053122				
Stubben	5,32	375,0	182,0	193,0	70,0	23847	10,43068	53,732928	03	gering besiedelt	01053124				
Walksfelde	3,51	216,0	112,0	104,0	62,0	23896	10,575101	53,631901	03	gering besiedelt	01053127				
Wentorf (Amt Sandesneben)	4,99	741,0	367,0	374,0	148,0	23898	10,474911	53,67663	03	gering besiedelt	01053130				
Sachsenwald (Forstgutsbez.),gemfr.Geb.	58,49	0,0	0,0	0,0	0,0		10,373262	53,530995	03	gering besiedelt	01053105				
Friedrichstadt, Stadt	4,03	2466,0	1165,0	1301,0	612,0	25840	9,087943	54,37346	03	gering besiedelt	01054033				
Husum, Stadt	25,81	22430,0	10676,0	11754,0	869,0	25813	9,050149	54,476472	02	mittlere Besiedlungsdichte	01054056				
Reußenköge	45,91	335,0	176,0	159,0	7,0	25821	8,883096	54,620428	03	gering besiedelt	01054108				
Tönning, Stadt	44,41	4895,0	2439,0	2456,0	110,0	25832	8,94334	54,319739	03	gering besiedelt	01054138				
Sylt	57,32	13453,0	6516,0	6937,0	235,0	25980	8,30875	54,90786	03	gering besiedelt	01054168				
Garding, Kirchspiel	14,89	375,0	184,0	191,0	25,0	25836	8,78356	54,317383	03	gering besiedelt	01054035				
Garding, Stadt	3,06	2597,0	1210,0	1387,0	849,0	25836	8,778217	54,327962	03	gering besiedelt	01054036				
Grothusenkoog	3,27	21,0	10,0	11,0	6,0	25836	8,759033	54,302739	03	gering besiedelt	01054040				
Katharinenheerd	8,4	170,0	84,0	86,0	20,0	25836	8,828074	54,335199	03	gering besiedelt	01054063				
Kotzenbüll	7,77	226,0	114,0	112,0	29,0	25832	8,907487	54,333778	03	gering besiedelt	01054072				
Norderfriedrichskoog	5,31	51,0	26,0	25,0	10,0	25870	8,893583	54,400271	03	gering besiedelt	01054090				
Oldenswort	45,84	1262,0	632,0	630,0	28,0	25870	8,942989	54,372281	03	gering besiedelt	01054095				
Osterhever	18,5	210,0	105,0	105,0	11,0	25836	8,765219	54,385302	03	gering besiedelt	01054100				
Poppenbüll	15,52	234,0	124,0	110,0	15,0	25836	8,761168	54,361585	03	gering besiedelt	01054104				
Sankt Peter-Ording	28,32	3968,0	1875,0	2093,0	140,0	25826	8,640495	54,302281	03	gering besiedelt	01054113				
Tating	29,49	948,0	477,0	471,0	32,0	25881	8,708512	54,325497	03	gering besiedelt	01054134				
Tetenbüll	36,43	618,0	282,0	336,0	17,0	25882	8,828234	54,352013	03	gering besiedelt	01054135				
Tümlauer Koog	6,2	115,0	62,0	53,0	19,0	25881	8,689757	54,348337	03	gering besiedelt	01054140				
Vollerwiek	4,62	186,0	94,0	92,0	40,0	25836	8,794694	54,290681	03	gering besiedelt	01054145				
Welt	8,2	221,0	105,0	116,0	27,0	25836	8,79406	54,302402	03	gering besiedelt	01054148				
Westerhever	13,32	104,0	47,0	57,0	8,0	25881	8,67563	54,382315	03	gering besiedelt	01054150				
Hörnum (Sylt)	5,64	902,0	471,0	431,0	160,0	25997	8,286546	54,7565	03	gering besiedelt	01054046				
Kampen (Sylt)	8,42	458,0	225,0	233,0	54,0	25999	8,342294	54,955508	03	gering besiedelt	01054061				
List auf Sylt	18,47	1531,0	777,0	754,0	83,0	25992	8,436183	55,020026	03	gering besiedelt	01054078				
Wenningstedt-Braderup (Sylt)	6,16	1439,0	682,0	757,0	234,0	25996	8,319785	54,931063	02	mittlere Besiedlungsdichte	01054149				
Ahrenviöl	10,11	517,0	271,0	246,0	51,0	25885	9,206895	54,531254	03	gering besiedelt	01054003				
Ahrenviölfeld	7,29	245,0	117,0	128,0	34,0	25885	9,274084	54,534607	03	gering besiedelt	01054004				
Behrendorf	15,29	570,0	302,0	268,0	37,0	25850	9,22759	54,562059	03	gering besiedelt	01054011				
Bondelum	9,18	174,0	94,0	80,0	19,0	25850	9,26682	54,556555	03	gering besiedelt	01054013				
Haselund	12,79	884,0	458,0	426,0	69,0	25855	9,182961	54,591683	03	gering besiedelt	01054041				
Immenstedt	14,61	693,0	376,0	317,0	47,0	25885	9,162503	54,541449	03	gering besiedelt	01054057				
Löwenstedt	19,62	657,0	338,0	319,0	33,0	25864	9,174887	54,621612	03	gering besiedelt	01054079				
Norstedt	13,5	388,0	199,0	189,0	29,0	25884	9,129313	54,588429	03	gering besiedelt	01054092				
Oster-Ohrstedt	11,29	602,0	320,0	282,0	53,0	25885	9,227445	54,514539	03	gering besiedelt	01054101				
Schwesing	15,63	921,0	477,0	444,0	59,0	25813	9,134622	54,493899	03	gering besiedelt	01054118				
Sollwitt	10,95	284,0	149,0	135,0	26,0	25884	9,228482	54,594606	03	gering besiedelt	01054123				
Viöl	18,95	2153,0	1061,0	1092,0	114,0	25884	9,180557	54,568875	03	gering besiedelt	01054144				
Wester-Ohrstedt	18,54	1033,0	516,0	517,0	56,0	25885	9,190063	54,507226	03	gering besiedelt	01054152				
Gröde	2,52	9,0	4,0	5,0	4,0	25869	8,717443	54,631686	03	gering besiedelt	01054039				
Hallig Hooge	5,78	95,0	47,0	48,0	16,0	25859	8,550938	54,566389	03	gering besiedelt	01054050				
Langeneß	11,57	130,0	68,0	62,0	11,0	25863	8,595474	54,639609	03	gering besiedelt	01054074				
Pellworm	37,44	1147,0	541,0	606,0	31,0	25849	8,686238	54,518632	03	gering besiedelt	01054103				
Alkersum	9,07	420,0	208,0	212,0	46,0	25938	8,511244	54,708245	03	gering besiedelt	01054005				
Borgsum	5,51	360,0	185,0	175,0	65,0	25938	8,460009	54,699989	03	gering besiedelt	01054015				
Dunsum	2,72	77,0	34,0	43,0	28,0	25938	8,414572	54,730715	03	gering besiedelt	01054025				
Midlum	8,5	442,0	188,0	254,0	52,0	25938	8,518625	54,714878	03	gering besiedelt	01054083				
Nebel	11,96	935,0	441,0	494,0	78,0	25946	8,353658	54,650612	03	gering besiedelt	01054085				
Nieblum	7,86	561,0	273,0	288,0	71,0	25938	8,489439	54,691947	03	gering besiedelt	01054087				
Norddorf auf Amrum	5,9	563,0	267,0	296,0	95,0	25946	8,332935	54,679638	03	gering besiedelt	01054089				
Oevenum	10,87	432,0	203,0	229,0	40,0	25938	8,530541	54,710109	03	gering besiedelt	01054094				
Oldsum	13,31	496,0	228,0	268,0	37,0	25938	8,447735	54,732075	03	gering besiedelt	01054098				
Süderende	2,59	182,0	85,0	97,0	70,0	25938	8,439339	54,725601	03	gering besiedelt	01054129				
Utersum	5,26	399,0	183,0	216,0	76,0	25938	8,407243	54,714455	03	gering besiedelt	01054143				
Witsum	1,59	46,0	23,0	23,0	29,0	25938	8,44106	54,698516	03	gering besiedelt	01054158				
Wittdün auf Amrum	2,6	780,0	361,0	419,0	300,0	25946	8,392971	54,626534	03	gering besiedelt	01054160				
Wrixum	7,56	645,0	311,0	334,0	85,0	25938	8,549002	54,699012	03	gering besiedelt	01054163				
Wyk auf Föhr, Stadt	8,0	4206,0	1911,0	2295,0	526,0	25938	8,567212	54,691093	03	gering besiedelt	01054164				
Achtrup	29,9	1458,0	756,0	702,0	49,0	25917	9,028319	54,788981	03	gering besiedelt	01054001				
Aventoft	14,47	455,0	231,0	224,0	31,0	25927	8,822142	54,901249	03	gering besiedelt	01054009				
Bosbüll	6,33	204,0	100,0	104,0	32,0	25899	8,860437	54,822786	03	gering besiedelt	01054016				
Braderup	13,35	660,0	337,0	323,0	49,0	25923	8,890308	54,835624	03	gering besiedelt	01054017				
Bramstedtlund	13,85	207,0	106,0	101,0	15,0	25926	9,08724	54,840025	03	gering besiedelt	01054018				
Dagebüll	36,92	908,0	453,0	455,0	25,0	25899	8,706381	54,730209	03	gering besiedelt	01054022				
Ellhöft	7,82	111,0	63,0	48,0	14,0	25923	8,957598	54,888824	03	gering besiedelt	01054027				
Friedrich-Wilhelm-Lübke-Koog	13,49	167,0	86,0	81,0	12,0	25924	8,631939	54,862372	03	gering besiedelt	01054034				
Holm	4,0	79,0	35,0	44,0	20,0	25923	8,860525	54,831367	03	gering besiedelt	01054048				
Humptrup	16,99	710,0	356,0	354,0	42,0	25923	8,864538	54,863199	03	gering besiedelt	01054055				
Karlum	14,46	205,0	99,0	106,0	14,0	25926	8,975269	54,828646	03	gering besiedelt	01054062				
Klanxbüll	10,63	983,0	462,0	521,0	92,0	25924	8,679546	54,864348	03	gering besiedelt	01054065				
Klixbüll	17,44	961,0	507,0	454,0	55,0	25899	8,882448	54,805242	03	gering besiedelt	01054068				
Ladelund	24,09	1372,0	674,0	698,0	57,0	25926	9,025311	54,84075	03	gering besiedelt	01054073				
Leck	29,79	7601,0	3674,0	3927,0	255,0	25917	8,974572	54,771914	02	mittlere Besiedlungsdichte	01054076				
Lexgaard	5,24	51,0	30,0	21,0	10,0	25923	8,943493	54,832022	03	gering besiedelt	01054077				
Neukirchen	31,58	1167,0	585,0	582,0	37,0	25927	8,73388	54,868905	03	gering besiedelt	01054086				
Niebüll, Stadt	30,63	9905,0	4752,0	5153,0	323,0	25899	8,829499	54,788141	02	mittlere Besiedlungsdichte	01054088				
Risum-Lindholm	36,03	3739,0	1883,0	1856,0	104,0	25920	8,875515	54,761513	03	gering besiedelt	01054109				
Rodenäs	19,84	413,0	210,0	203,0	21,0	25924	8,70031	54,888387	03	gering besiedelt	01054110				
Sprakebüll	11,37	239,0	124,0	115,0	21,0	25917	9,077168	54,775904	03	gering besiedelt	01054124				
Stadum	19,74	991,0	535,0	456,0	50,0	25917	9,050473	54,736011	03	gering besiedelt	01054125				
Stedesand	15,19	884,0	448,0	436,0	58,0	25920	8,925525	54,738139	03	gering besiedelt	01054126				
Süderlügum	26,59	2300,0	1131,0	1169,0	86,0	25923	8,907944	54,872427	03	gering besiedelt	01054131				
Tinningstedt	8,91	252,0	117,0	135,0	28,0	25917	8,929787	54,811247	03	gering besiedelt	01054136				
Uphusum	7,06	380,0	185,0	195,0	54,0	25923	8,849901	54,841901	03	gering besiedelt	01054142				
Westre	19,13	362,0	175,0	187,0	19,0	25926	8,987549	54,856605	03	gering besiedelt	01054154				
Galmsbüll	49,05	605,0	301,0	304,0	12,0	25899	8,732055	54,775694	03	gering besiedelt	01054165				
Emmelsbüll-Horsbüll	35,73	887,0	448,0	439,0	25,0	25924	8,692601	54,811403	03	gering besiedelt	01054166				
Enge-Sande	24,82	1118,0	564,0	554,0	45,0	25917	8,98049	54,726675	03	gering besiedelt	01054167				
Arlewatt	5,57	332,0	181,0	151,0	60,0	25860	9,083426	54,539223	03	gering besiedelt	01054007				
Drage	16,33	628,0	280,0	348,0	38,0	25878	9,162165	54,353897	03	gering besiedelt	01054023				
Elisabeth-Sophien-Koog	5,18	46,0	22,0	24,0	9,0	25845	8,879592	54,510068	03	gering besiedelt	01054026				
Fresendelf	2,6	97,0	56,0	41,0	37,0	25876	9,248765	54,39338	03	gering besiedelt	01054032				
Hattstedt	7,0	2557,0	1258,0	1299,0	365,0	25856	9,02454	54,528049	03	gering besiedelt	01054042				
Hattstedtermarsch	35,26	290,0	158,0	132,0	8,0	25856	8,964562	54,554793	03	gering besiedelt	01054043				
Horstedt	11,7	786,0	410,0	376,0	67,0	25860	9,069038	54,525582	03	gering besiedelt	01054052				
Hude	3,54	186,0	97,0	89,0	53,0	25876	9,215821	54,387212	03	gering besiedelt	01054054				
Koldenbüttel	25,8	926,0	473,0	453,0	36,0	25840	9,065906	54,384849	03	gering besiedelt	01054070				
Mildstedt	8,71	3796,0	1812,0	1984,0	436,0	25866	9,094038	54,463492	02	mittlere Besiedlungsdichte	01054084				
Nordstrand	57,21	2201,0	1082,0	1119,0	38,0	25845	8,860249	54,484823	03	gering besiedelt	01054091				
Oldersbek	10,82	683,0	371,0	312,0	63,0	25873	9,166728	54,446436	03	gering besiedelt	01054096				
Olderup	9,94	439,0	223,0	216,0	44,0	25860	9,112117	54,538167	03	gering besiedelt	01054097				
Ostenfeld (Husum)	27,67	1562,0	742,0	820,0	56,0	25872	9,230675	54,462866	03	gering besiedelt	01054099				
Ramstedt	5,42	435,0	217,0	218,0	80,0	25876	9,167101	54,399905	03	gering besiedelt	01054105				
Rantrum	13,69	1815,0	914,0	901,0	133,0	25873	9,129606	54,44052	03	gering besiedelt	01054106				
Schwabstedt	19,64	1321,0	659,0	662,0	67,0	25876	9,185238	54,395651	03	gering besiedelt	01054116				
Seeth	13,76	1417,0	839,0	578,0	103,0	25878	9,163079	54,365824	03	gering besiedelt	01054119				
Simonsberg	17,09	801,0	400,0	401,0	47,0	25813	8,97196	54,436567	03	gering besiedelt	01054120				
Süderhöft	2,6	19,0	9,0	10,0	7,0	25876	9,2423	54,381912	03	gering besiedelt	01054130				
Südermarsch	30,23	162,0	84,0	78,0	5,0	25813	9,08199	54,425929	03	gering besiedelt	01054132				
Uelvesbüll	10,23	289,0	148,0	141,0	28,0	25889	8,935322	54,415443	03	gering besiedelt	01054141				
Winnert	18,88	716,0	352,0	364,0	38,0	25887	9,201381	54,433243	03	gering besiedelt	01054156				
Wisch	3,05	104,0	51,0	53,0	34,0	25876	9,154149	54,408531	03	gering besiedelt	01054157				
Wittbek	19,91	749,0	369,0	380,0	38,0	25872	9,204139	54,473433	03	gering besiedelt	01054159				
Witzwort	28,14	1036,0	518,0	518,0	37,0	25889	8,984464	54,399484	03	gering besiedelt	01054161				
Wobbenbüll	1,69	436,0	221,0	215,0	258,0	25856	8,992516	54,530418	03	gering besiedelt	01054162				
Ahrenshöft	8,79	526,0	261,0	265,0	60,0	25853	9,068097	54,559394	03	gering besiedelt	01054002				
Almdorf	5,7	561,0	293,0	268,0	98,0	25821	9,014024	54,582339	03	gering besiedelt	01054006				
Bargum	17,29	612,0	308,0	304,0	35,0	25842	8,947267	54,704209	03	gering besiedelt	01054010				
Bohmstedt	13,35	750,0	380,0	370,0	56,0	25853	9,043841	54,581229	03	gering besiedelt	01054012				
Bordelum	34,71	1998,0	995,0	1003,0	58,0	25852	8,924922	54,635913	03	gering besiedelt	01054014				
Bredstedt, Stadt	9,75	5224,0	2548,0	2676,0	536,0	25821	8,960958	54,620073	02	mittlere Besiedlungsdichte	01054019				
Breklum	10,06	2348,0	1136,0	1212,0	233,0	25821	8,982127	54,605121	02	mittlere Besiedlungsdichte	01054020				
Drelsdorf	17,7	1259,0	646,0	613,0	71,0	25853	9,041284	54,60599	03	gering besiedelt	01054024				
Goldebek	10,18	334,0	165,0	169,0	33,0	25862	9,145818	54,678836	03	gering besiedelt	01054037				
Goldelund	12,02	410,0	200,0	210,0	34,0	25862	9,107425	54,678411	03	gering besiedelt	01054038				
Högel	16,28	455,0	223,0	232,0	28,0	25858	9,056667	54,643538	03	gering besiedelt	01054045				
Joldelund	19,12	715,0	360,0	355,0	37,0	25862	9,139662	54,652937	03	gering besiedelt	01054059				
Kolkerheide	2,1	54,0	30,0	24,0	26,0	25862	9,130775	54,620407	03	gering besiedelt	01054071				
Langenhorn	47,4	3172,0	1557,0	1615,0	67,0	25842	8,933726	54,681709	03	gering besiedelt	01054075				
Lütjenholm	10,71	317,0	170,0	147,0	30,0	25842	9,021561	54,684136	03	gering besiedelt	01054080				
Ockholm	18,64	325,0	167,0	158,0	17,0	25842	8,827553	54,665128	03	gering besiedelt	01054093				
Sönnebüll	4,29	277,0	132,0	145,0	65,0	25821	8,995888	54,63119	03	gering besiedelt	01054121				
Struckum	8,92	973,0	484,0	489,0	109,0	25821	8,994073	54,588682	03	gering besiedelt	01054128				
Vollstedt	6,18	186,0	94,0	92,0	30,0	25821	9,032722	54,623717	03	gering besiedelt	01054146				
Ahrensbök	95,37	8297,0	4113,0	4184,0	87,0	23623	10,573059	54,011094	03	gering besiedelt	01055001				
Bad Schwartau, Stadt	18,39	19945,0	9306,0	10639,0	1085,0	23611	10,695909	53,920431	02	mittlere Besiedlungsdichte	01055004				
Bosau	64,25	3382,0	1729,0	1653,0	53,0	23715	10,429901	54,104439	03	gering besiedelt	01055007				
Dahme	9,11	1278,0	625,0	653,0	140,0	23743	11,08163	54,223661	03	gering besiedelt	01055010				
Eutin, Stadt	41,4	16979,0	8020,0	8959,0	410,0	23701	10,614962	54,138933	02	mittlere Besiedlungsdichte	01055012				
Grömitz	51,11	7150,0	3446,0	3704,0	140,0	23743	10,961101	54,149249	02	mittlere Besiedlungsdichte	01055016				
Grube	20,2	985,0	459,0	526,0	49,0	23743	11,03599	54,23209	03	gering besiedelt	01055018				
Heiligenhafen, Stadt	18,32	9126,0	4397,0	4729,0	498,0	23774	10,974623	54,373048	02	mittlere Besiedlungsdichte	01055021				
