change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
14/2009/0009-R	1	14626060	Boxberg/O.L.	14626220	Klitten	01.02.2009
14/2009/0009-R	3	14626060	Boxberg/O.L.	14626060	Boxberg/O.L.	01.02.2009
14/2009/0010-R	1	14521270	Grünhainichen	14521660	Waldkirchen/Erzgeb.	01.03.2009
15/2009/0024-R	1	15082440	Zörbig, Stadt	15082360	Schortewitz	01.03.2009
15/2009/0025-R	1	15091060	Coswig (Anhalt), Stadt	15091080	Düben	01.03.2009
15/2009/0025-R	1	15091060	Coswig (Anhalt), Stadt	15091165	Klieken	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087005	Abberode	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087085	Braunschwende	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087160	Friesdorf	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087215	Hermerode	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087290	Molmerswende	01.03.2009
15/2009/0026-R	1	15087275	Mansfeld, Stadt	15087340	Ritzgerode	01.03.2009
09/2009/0001-R	4	09181114	Dießen am Ammersee, M	09181114	Dießen a.Ammersee, M	01.06.2009
09/2009/0002-R	4	09181115	Eching am Ammersee	09181115	Eching a.Ammersee	01.06.2009
09/2009/0003-R	4	09181139	Schondorf am Ammersee	09181139	Schondorf a.Ammersee	01.06.2009
09/2009/0004-R	4	09181144	Utting am Ammersee	09181144	Utting a.Ammersee	01.06.2009
01/2009/0008-R	4	01054089	Norddorf auf Amrum	01054089	Norddorf	01.06.2009
01/2009/0009-R	4	01054160	Wittdün auf Amrum	01054160	Wittdün	01.06.2009
03/2009/0002-R	4	03359038	Stade, Hansestadt	03359038	Stade, Stadt	01.06.2009
07/2009/0006-R	3	07135020	Cochem, Stadt	07135020	Cochem, Stadt	01.06.2009
13/2009/0002-R	1	13060001	Banzkow	13060027	Goldenstädt	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051017	Damm	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051018	Dummerstorf	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051034	Kavelstorf	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051035	Kessin	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051044	Lieblingshof	01.06.2009
13/2009/0003-R	1	13051089	Dummerstorf	13051055	Prisannewitz	01.06.2009
15/2009/0029-R	1	15084025	Balgstädt	15084075	Burkersroda	01.06.2009
13/2009/0004-R	1	13052050	Malchin, Stadt	13052062	Remplin	01.07.2009
13/2009/0005-R	1	13056053	Penzlin, Stadt	13056016	Groß Flotow	01.07.2009
13/2009/0005-R	1	13056053	Penzlin, Stadt	13056020	Groß Vielen	01.07.2009
13/2009/0005-R	1	13056053	Penzlin, Stadt	13056043	Marihn	01.07.2009
13/2009/0005-R	1	13056053	Penzlin, Stadt	13056048	Mollenstorf	01.07.2009
13/2009/0006-R	1	13056007	Bollewick	13056026	Kambs	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057011	Behnkendorf	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057014	Brandshagen	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057039	Horst	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057046	Kirchdorf	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057059	Miltzow	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057073	Reinberg	01.07.2009
13/2009/0007-R	1	13057104	Sundhagen	13057092	Wilmshagen	01.07.2009
13/2009/0008-R	1	13058117	Badow-Renzow	13058004	Badow	01.07.2009
13/2009/0008-R	1	13058117	Badow-Renzow	13058085	Renzow	01.07.2009
13/2009/0009-R	1	13058118	Damshagen	13058021	Damshagen	01.07.2009
13/2009/0009-R	1	13058118	Damshagen	13058112	Moor-Rolofshagen	01.07.2009
13/2009/0010-R	1	13058063	Lübow	13058092	Schimm	01.07.2009
13/2009/0011-R	1	13059091	Spantekow	13059020	Drewelow	01.07.2009
13/2009/0011-R	1	13059091	Spantekow	13059034	Japenzin	01.07.2009
13/2009/0012-R	1	13059021	Ducherow	13059054	Löwitz	01.07.2009
13/2009/0012-R	1	13059021	Ducherow	13059083	Rathebur	01.07.2009
13/2009/0013-R	1	13059049	Lassan, Stadt	13059079	Pulow	01.07.2009
13/2009/0014-R	1	13060098	Lewitzrand	13060039	Klinken	01.07.2009
13/2009/0014-R	1	13060098	Lewitzrand	13060052	Matzlow-Garwitz	01.07.2009
13/2009/0014-R	1	13060098	Lewitzrand	13060064	Raduhn	01.07.2009
13/2009/0015-R	1	13060099	Techentin	13060047	Langenhagen	01.07.2009
13/2009/0015-R	1	13060099	Techentin	13060078	Techentin	01.07.2009
15/2009/0030-R	1	15081135	Gardelegen, Hansestadt	15081055	Berge	01.07.2009
15/2009/0030-R	3	15081135	Gardelegen, Hansestadt	15081135	Gardelegen, Hansestadt	01.07.2009
15/2009/0030-R	1	15081135	Gardelegen, Hansestadt	15081155	Hemstedt	01.07.2009
15/2009/0030-R	1	15081135	Gardelegen, Hansestadt	15081275	Kloster Neuendorf	01.07.2009
15/2009/0030-R	1	15081135	Gardelegen, Hansestadt	15081010	Algenstedt	01.07.2009
15/2009/0030-R	1	15081135	Gardelegen, Hansestadt	15081465	Schenkenhorst	01.07.2009
15/2009/0031-R	4	15082340	Sandersdorf-Brehna, Stadt	15082340	Sandersdorf	01.07.2009
15/2009/0031-R	1	15082340	Sandersdorf	15082030	Brehna, Stadt	01.07.2009
15/2009/0031-R	1	15082340	Sandersdorf	15082105	Glebitzsch	01.07.2009
15/2009/0031-R	1	15082340	Sandersdorf	15082260	Petersroda	01.07.2009
15/2009/0031-R	1	15082340	Sandersdorf	15082330	Roitzsch	01.07.2009
15/2009/0032-R	1	15083415	Oschersleben (Bode), Stadt	15083015	Altbrandsleben	01.07.2009
15/2009/0032-R	1	15083415	Oschersleben (Bode), Stadt	15083310	Hornhausen	01.07.2009
15/2009/0032-R	1	15083415	Oschersleben (Bode), Stadt	15083460	Schermcke	01.07.2009
15/2009/0033-R	1	15083565	Wolmirstedt, Stadt	15083235	Glindenberg	01.07.2009
15/2009/0034-R	1	15084025	Balgstädt	15084205	Größnitz	01.07.2009
15/2009/0034-R	1	15084025	Balgstädt	15084230	Hirschroda	01.07.2009
15/2009/0035-R	1	15084135	Freyburg (Unstrut), Stadt	15084380	Pödelist	01.07.2009
15/2009/0035-R	1	15084135	Freyburg (Unstrut), Stadt	15084440	Schleberoda	01.07.2009
15/2009/0035-R	1	15084135	Freyburg (Unstrut), Stadt	15084540	Weischütz	01.07.2009
15/2009/0035-R	1	15084135	Freyburg (Unstrut), Stadt	15084595	Zeuchfeld	01.07.2009
15/2009/0036-R	1	15084150	Gleina	15084030	Baumersroda	01.07.2009
15/2009/0036-R	1	15084150	Gleina	15084120	Ebersroda	01.07.2009
15/2009/0037-R	1	15084285	Laucha an der Unstrut, Stadt	15084065	Burgscheidungen	01.07.2009
15/2009/0037-R	1	15084285	Laucha an der Unstrut, Stadt	15084260	Kirchscheidungen	01.07.2009
15/2009/0038-R	1	15084315	Lützen, Stadt	15084420	Röcken	01.07.2009
15/2009/0039-R	1	15084360	Nebra (Unstrut), Stadt	15084535	Wangen	01.07.2009
15/2009/0040-R	1	15085190	Ilsenburg (Harz), Stadt	15085080	Darlingerode	01.07.2009
15/2009/0040-R	1	15085190	Ilsenburg (Harz), Stadt	15085095	Drübeck	01.07.2009
15/2009/0040-R	3	15085190	Ilsenburg (Harz), Stadt	15085190	Ilsenburg (Harz), Stadt	01.07.2009
15/2009/0041-R	1	15085330	Thale, Stadt	15085015	Altenbrak	01.07.2009
15/2009/0041-R	1	15085330	Thale, Stadt	15085340	Treseburg	01.07.2009
15/2009/0042-R	1	15085370	Wernigerode, Stadt	15085275	Schierke	01.07.2009
15/2009/0043-R	1	15086015	Burg, Stadt	15086180	Reesen	01.07.2009
15/2009/0044-R	3	15086040	Genthin, Stadt	15086040	Genthin, Stadt	01.07.2009
15/2009/0044-R	1	15086040	Genthin, Stadt	15086050	Gladau	01.07.2009
15/2009/0044-R	1	15086040	Genthin, Stadt	15086155	Paplitz	01.07.2009
15/2009/0044-R	1	15086040	Genthin, Stadt	15086235	Tucheim	01.07.2009
15/2009/0045-R	1	15087250	Kelbra (Kyffhäuser), Stadt	15087420	Tilleda (Kyffhäuser)	01.07.2009
15/2009/0046-R	1	15087440	Wallhausen	15087280	Martinsrieth	01.07.2009
15/2009/0046-R	1	15087440	Wallhausen	15087330	Riethnordhausen	01.07.2009
15/2009/0047-R	1	15090010	Arneburg, Stadt	15090035	Beelitz	01.07.2009
15/2009/0048-R	1	15090270	Iden	15090450	Sandauerholz	01.07.2009
15/2009/0049-R	1	15091060	Coswig (Anhalt), Stadt	15091135	Hundeluft	01.07.2009
15/2009/0049-R	1	15091060	Coswig (Anhalt), Stadt	15091140	Jeber-Bergfrieden	01.07.2009
15/2009/0049-R	1	15091060	Coswig (Anhalt), Stadt	15091225	Möllensdorf	01.07.2009
15/2009/0049-R	1	15091060	Coswig (Anhalt), Stadt	15091275	Ragösen	01.07.2009
15/2009/0050-R	1	15081026	Apenburg-Winterfeld, Flecken	15081025	Apenburg, Flecken	01.07.2009
15/2009/0050-R	1	15081026	Apenburg-Winterfeld, Flecken	15081580	Winterfeld	01.07.2009
15/2009/0050-R	1	15081026	Apenburg-Winterfeld, Flecken	15081015	Altensalzwedel	01.07.2009
15/2009/0051-R	1	15081290	Kuhfelde	15081420	Püggen	01.07.2009
15/2009/0051-R	1	15081290	Kuhfelde	15081495	Siedenlangenbeck	01.07.2009
15/2009/0051-R	1	15081290	Kuhfelde	15081530	Valfitz	01.07.2009
15/2009/0052-R	1	15081545	Wallstawe	15081115	Ellenberg	01.07.2009
15/2009/0052-R	1	15081545	Wallstawe	15081140	Gieseritz	01.07.2009
15/2009/0052-R	3	15081545	Wallstawe	15081545	Wallstawe	01.07.2009
15/2009/0053-R	1	15084015	Bad Bibra, Stadt	15084010	Altenroda	01.07.2009
15/2009/0053-R	3	15084015	Bad Bibra, Stadt	15084015	Bad Bibra, Stadt	01.07.2009
15/2009/0053-R	1	15084132	Finne	15084040	Billroda	01.07.2009
15/2009/0053-R	1	15084246	Kaiserpfalz	15084055	Bucha	01.07.2009
15/2009/0053-R	1	15084125	Eckartsberga, Stadt	15084060	Burgholzhausen	01.07.2009
15/2009/0053-R	3	15084125	Eckartsberga, Stadt	15084125	Eckartsberga, Stadt	01.07.2009
15/2009/0053-R	1	15084015	Bad Bibra, Stadt	15084160	Golzen	01.07.2009
15/2009/0053-R	1	15084012	An der Poststraße	15084220	Herrengosserstedt	01.07.2009
15/2009/0053-R	1	15084133	Finneland	15084245	Kahlwinkel	01.07.2009
15/2009/0053-R	1	15084012	An der Poststraße	15084265	Klosterhäseler	01.07.2009
15/2009/0053-R	1	15084132	Finne	15084305	Lossa	01.07.2009
15/2009/0053-R	1	15084246	Kaiserpfalz	15084330	Memleben	01.07.2009
15/2009/0053-R	1	15084282	Lanitz-Hassel-Tal	15084345	Möllern	01.07.2009
15/2009/0053-R	1	15084133	Finneland	15084425	Saubach	01.07.2009
15/2009/0053-R	1	15084133	Finneland	15084460	Steinburg	01.07.2009
15/2009/0053-R	1	15084282	Lanitz-Hassel-Tal	15084485	Taugwitz	01.07.2009
15/2009/0053-R	1	15084015	Bad Bibra, Stadt	15084495	Thalwinkel	01.07.2009
15/2009/0053-R	1	15084125	Eckartsberga, Stadt	15084510	Tromsdorf	01.07.2009
15/2009/0053-R	1	15084012	An der Poststraße	15084570	Wischroda	01.07.2009
15/2009/0053-R	1	15084246	Kaiserpfalz	15084580	Wohlmirstedt	01.07.2009
15/2009/0054-R	1	15090220	Hassel	15090455	Sanne	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090030	Ballerstedt	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090130	Düsedau	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090140	Erxleben	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090155	Flessau	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090175	Gladigau	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090315	Königsmark	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090335	Krevese	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090380	Meseberg	01.07.2009
15/2009/0055-R	3	15090415	Osterburg (Altmark), Hansestadt	15090415	Osterburg (Altmark), Hansestadt	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090440	Rossau	01.07.2009
15/2009/0055-R	1	15090415	Osterburg (Altmark), Hansestadt	15090590	Walsleben	01.07.2009
15/2009/0056-R	3	15091020	Bad Schmiedeberg, Stadt	15091020	Bad Schmiedeberg, Stadt	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091175	Korgau	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091210	Meuro	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091255	Pretzsch (Elbe), Stadt	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091260	Priesitz	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091305	Schnellin	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091330	Söllichau	01.07.2009
15/2009/0056-R	1	15091020	Bad Schmiedeberg, Stadt	15091355	Trebitz	01.07.2009
15/2009/0057-R	1	15084590	Zeitz, Stadt	15084100	Döbris	01.07.2009
