change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
03/2011/0001-R	3	03352038	Neuenkirchen	03352038	Neuenkirchen	01.01.2011
03/2011/0001-R	3	03352041	Nordleda	03352041	Nordleda	01.01.2011
03/2011/0001-R	3	03352045	Osterbruch	03352045	Osterbruch	01.01.2011
03/2011/0001-R	3	03352046	Otterndorf, Stadt	03352046	Otterndorf, Stadt	01.01.2011
03/2011/0001-R	3	03352025	Ihlienworth	03352025	Ihlienworth	01.01.2011
03/2011/0001-R	3	03352043	Odisheim	03352043	Odisheim	01.01.2011
03/2011/0001-R	3	03352051	Steinau	03352051	Steinau	01.01.2011
03/2011/0001-R	3	03352055	Wanna	03352055	Wanna	01.01.2011
03/2011/0002-R	3	03256007	Eystrup	03256007	Eystrup	01.01.2011
03/2011/0002-R	3	03256008	Gandesbergen	03256008	Gandesbergen	01.01.2011
03/2011/0002-R	3	03256009	Hämelhausen	03256009	Hämelhausen	01.01.2011
03/2011/0002-R	3	03256010	Hassel (Weser)	03256010	Hassel (Weser)	01.01.2011
03/2011/0002-R	3	03256003	Bücken, Flecken	03256003	Bücken, Flecken	01.01.2011
03/2011/0002-R	3	03256013	Hilgermissen	03256013	Hilgermissen	01.01.2011
03/2011/0002-R	3	03256014	Hoya, Stadt	03256014	Hoya, Stadt	01.01.2011
03/2011/0002-R	3	03256015	Hoyerhagen	03256015	Hoyerhagen	01.01.2011
03/2011/0002-R	3	03256028	Schweringen	03256028	Schweringen	01.01.2011
03/2011/0002-R	3	03256035	Warpe	03256035	Warpe	01.01.2011
03/2011/0003-R	3	03255010	Dielmissen	03255010	Dielmissen	01.01.2011
03/2011/0003-R	3	03255012	Eimen	03255012	Eimen	01.01.2011
03/2011/0003-R	3	03255013	Eschershausen, Stadt	03255013	Eschershausen, Stadt	01.01.2011
03/2011/0003-R	3	03255022	Holzen	03255022	Holzen	01.01.2011
03/2011/0003-R	3	03255028	Lüerdissen	03255028	Lüerdissen	01.01.2011
03/2011/0003-R	3	03255001	Arholzen	03255001	Arholzen	01.01.2011
03/2011/0003-R	3	03255007	Deensen	03255007	Deensen	01.01.2011
03/2011/0003-R	3	03255018	Heinade	03255018	Heinade	01.01.2011
03/2011/0003-R	3	03255027	Lenne	03255027	Lenne	01.01.2011
03/2011/0003-R	3	03255034	Stadtoldendorf, Stadt	03255034	Stadtoldendorf, Stadt	01.01.2011
03/2011/0003-R	3	03255036	Wangelnstedt	03255036	Wangelnstedt	01.01.2011
08/2011/0001-R	3	08415971	Gutsbezirk Münsingen, gemeindefreies Gebiet	08415086	Gutsbezirk Münsingen, gemeindefreies Gebiet	01.01.2011
09/2011/0008-R	4	09162000	München, Landeshauptstadt	09162000	München	01.03.2011
12/2011/0001-R	4	12063148	Ketzin/Havel, Stadt	12063148	Ketzin, Stadt	01.01.2011
13/2011/0001-R	1	13056053	Penzlin, Stadt	13056029	Klein Lukow	01.01.2011
13/2011/0002-R	1	13062003	Altwigshagen	13059100	Wietstock	01.01.2011
13/2011/0003-R	1	13060010	Crivitz, Stadt	13060087	Wessin	01.01.2011
13/2011/0004-R	1	13060061	Plau am See, Stadt	13060037	Karow	01.01.2011
13/2011/0005-R	1	13061004	Bergen auf Rügen, Stadt	13061039	Thesenvitz	01.01.2011
13/2011/0006-R	1	13058100	Upahl	13058045	Hanshagen	01.01.2011
14/2011/0001-R	3	14521170	Eibenstock, Stadt	14521170	Eibenstock, Stadt	01.01.2011
14/2011/0001-R	1	14521170	Eibenstock, Stadt	14521580	Sosa	01.01.2011
14/2011/0002-R	1	14523365	Rosenbach/Vogtl.	14523180	Leubnitz	01.01.2011
14/2011/0002-R	1	14523365	Rosenbach/Vogtl.	14523210	Mehltheuer	01.01.2011
14/2011/0002-R	1	14523365	Rosenbach/Vogtl.	14523390	Syrau	01.01.2011
14/2011/0003-R	1	14523450	Weischlitz	14523070	Burgstein	01.01.2011
14/2011/0004-R	1	14625525	Schirgiswalde-Kirschau, Stadt	14625070	Crostau	01.01.2011
14/2011/0004-R	1	14625525	Schirgiswalde-Kirschau, Stadt	14625260	Kirschau	01.01.2011
14/2011/0004-R	1	14625525	Schirgiswalde-Kirschau, Stadt	14625520	Schirgiswalde, Stadt	01.01.2011
14/2011/0005-R	1	14626085	Ebersbach-Neugersdorf, Stadt	14626080	Ebersbach/Sa., Stadt	01.01.2011
14/2011/0005-R	1	14626085	Ebersbach-Neugersdorf, Stadt	14626340	Neugersdorf, Stadt	01.01.2011
14/2011/0006-R	1	14626180	Herrnhut, Stadt	14626130	Großhennersdorf	01.01.2011
14/2011/0007-R	1	14628010	Altenberg, Stadt	14628120	Geising, Stadt	01.01.2011
14/2011/0008-R	1	14729080	Colditz, Stadt	14729180	Großbothen	01.01.2011
14/2011/0008-R	1	14729160	Grimma, Stadt	14729180	Großbothen	01.01.2011
14/2011/0008-R	1	14729160	Grimma, Stadt	14729310	Nerchau, Stadt	01.01.2011
14/2011/0008-R	1	14729160	Grimma, Stadt	14729390	Thümmlitzwalde	01.01.2011
14/2011/0008-R	1	14729080	Colditz, Stadt	14729420	Zschadraß	01.01.2011
14/2011/0009-R	1	14730030	Beilrode	14730130	Großtreben-Zwethau	01.01.2011
14/2011/0010-R	1	14730200	Mügeln, Stadt	14730290	Sornzig-Ablaß	01.01.2011
15/2011/0001-R	1	15081240	Kalbe (Milde), Stadt	15081035	Badel	01.01.2011
15/2011/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081130	Fleetmark	01.01.2011
15/2011/0001-R	1	15081240	Kalbe (Milde), Stadt	15081210	Jeggeleben	01.01.2011
15/2011/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081340	Mechau	01.01.2011
15/2011/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081425	Rademin	01.01.2011
15/2011/0001-R	1	15081455	Salzwedel, Hansestadt	15081510	Steinitz	01.01.2011
15/2011/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081540	Vissum	01.01.2011
15/2011/0001-R	1	15081455	Salzwedel, Hansestadt	15081565	Wieblitz-Eversdorf	01.01.2011
15/2011/0001-R	1	15081240	Kalbe (Milde), Stadt	15081585	Zethlingen	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081080	Breitenfeld	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081100	Dannefeld	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081125	Estedt	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081170	Hottendorf	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081190	Jävenitz	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081205	Jeggau	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081215	Jerchel	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081245	Kassieck	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081285	Köckte	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081320	Letzlingen	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081330	Lindstedt	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081355	Mieste	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081360	Miesterhorst	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081405	Peckfitz	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081450	Sachau	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081485	Seethen	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081490	Sichau	01.01.2011
15/2011/0002-R	1	15081135	Gardelegen, Hansestadt	15081500	Solpke	01.01.2011
15/2011/0003-R	1	15084315	Lützen, Stadt	15084090	Dehlitz (Saale)	01.01.2011
15/2011/0003-R	3	15084315	Lützen, Stadt	15084315	Lützen, Stadt	01.01.2011
15/2011/0003-R	1	15084315	Lützen, Stadt	15084450	Sössen	01.01.2011
15/2011/0003-R	1	15084315	Lützen, Stadt	15084600	Zorbau	01.01.2011
15/2011/0004-R	1	15084490	Teuchern, Stadt	15084095	Deuben	01.01.2011
