change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
01/2012/0001-R	3	01058077	Hohenwestedt	01058077	Hohenwestedt	2012-01-01
01/2012/0001-R	3	01058007	Arpsdorf	01058007	Arpsdorf	2012-01-01
01/2012/0001-R	3	01058009	Aukrug	01058009	Aukrug	2012-01-01
01/2012/0001-R	3	01058044	Ehndorf	01058044	Ehndorf	2012-01-01
01/2012/0001-R	3	01058128	Padenstedt	01058128	Padenstedt	2012-01-01
01/2012/0001-R	3	01058013	Beldorf	01058013	Beldorf	2012-01-01
01/2012/0001-R	3	01058014	Bendorf	01058014	Bendorf	2012-01-01
01/2012/0001-R	3	01058025	Bornholt	01058025	Bornholt	2012-01-01
01/2012/0001-R	3	01058061	Gokels	01058061	Gokels	2012-01-01
01/2012/0001-R	3	01058072	Hanerau-Hademarschen	01058072	Hanerau-Hademarschen	2012-01-01
01/2012/0001-R	3	01058100	Lütjenwestedt	01058100	Lütjenwestedt	2012-01-01
01/2012/0001-R	3	01058119	Oldenbüttel	01058119	Oldenbüttel	2012-01-01
01/2012/0001-R	3	01058151	Seefeld	01058151	Seefeld	2012-01-01
01/2012/0001-R	3	01058156	Steenfeld	01058156	Steenfeld	2012-01-01
01/2012/0001-R	3	01058158	Tackesdorf	01058158	Tackesdorf	2012-01-01
01/2012/0001-R	3	01058161	Thaden	01058161	Thaden	2012-01-01
01/2012/0001-R	3	01058015	Beringstedt	01058015	Beringstedt	2012-01-01
01/2012/0001-R	3	01058062	Grauel	01058062	Grauel	2012-01-01
01/2012/0001-R	3	01058074	Heinkenborstel	01058074	Heinkenborstel	2012-01-01
01/2012/0001-R	3	01058085	Jahrsdorf	01058085	Jahrsdorf	2012-01-01
01/2012/0001-R	3	01058103	Meezen	01058103	Meezen	2012-01-01
01/2012/0001-R	3	01058106	Mörel	01058106	Mörel	2012-01-01
01/2012/0001-R	3	01058113	Nienborstel	01058113	Nienborstel	2012-01-01
01/2012/0001-R	3	01058115	Nindorf	01058115	Nindorf	2012-01-01
01/2012/0001-R	3	01058125	Osterstedt	01058125	Osterstedt	2012-01-01
01/2012/0001-R	3	01058131	Rade b. Hohenwestedt	01058131	Rade b. Hohenwestedt	2012-01-01
01/2012/0001-R	3	01058134	Remmels	01058134	Remmels	2012-01-01
01/2012/0001-R	3	01058159	Tappendorf	01058159	Tappendorf	2012-01-01
01/2012/0001-R	3	01058164	Todenbüttel	01058164	Todenbüttel	2012-01-01
01/2012/0001-R	3	01058167	Wapelfeld	01058167	Wapelfeld	2012-01-01
07/2012/0001-R	3	07231086	Minheim	07231086	Minheim	2012-01-01
07/2012/0001-R	3	07231092	Neumagen-Dhron	07231092	Neumagen-Dhron	2012-01-01
07/2012/0001-R	3	07231105	Piesport	07231105	Piesport	2012-01-01
07/2012/0001-R	3	07235207	Trittenheim	07231207	Trittenheim	2012-01-01
08/2012/0001-R	4	08315048	Hartheim am Rhein	08315048	Hartheim	2012-01-01
13/2012/0001-R	1	13075127	Spantekow	13075100	Neuendorf B	2012-01-01
13/2012/0002-R	1	13072015	Blankenhagen	13072070	Mandelshagen	2012-01-01
13/2012/0003-R	1	13076162	Zölkow	13076059	Groß Niendorf	2012-01-01
13/2012/0004-R	1	13071172	Peenehagen	13071052	Groß Gievitz	2012-01-01
13/2012/0004-R	1	13071172	Peenehagen	13071062	Hinrichshagen	2012-01-01
13/2012/0004-R	1	13071172	Peenehagen	13071085	Lansen-Schönau	2012-01-01
13/2012/0005-R	1	13075015	Boldekow	13075112	Putzar	2012-01-01
13/2012/0006-R	1	13075029	Ducherow	13075099	Neuendorf A	2012-01-01
13/2012/0007-R	1	13075144	Wolgast, Stadt	13075019	Buddenhagen	2012-01-01
13/2012/0007-R	1	13075144	Wolgast, Stadt	13075052	Hohendorf	2012-01-01
13/2012/0008-R	1	13076164	Obere Warnow	13076061	Herzberg	2012-01-01
13/2012/0008-R	1	13076164	Obere Warnow	13076052	Grebbin	2012-01-01
13/2012/0009-R	1	13076048	Goldberg, Stadt	13076031	Diestelow	2012-01-01
13/2012/0009-R	1	13076048	Goldberg, Stadt	13076150	Wendisch Waren	2012-01-01
13/2012/0010-R	1	13076112	Pinnow	13076045	Godern	2012-01-01
13/2012/0012-R	1	13071115	Penzlin, Stadt	13071094	Mallin	2012-01-01
13/2012/0013-R	1	13071173	Kuckssee	13071082	Krukow	2012-01-01
13/2012/0013-R	1	13071173	Kuckssee	13071086	Lapitz	2012-01-01
13/2012/0013-R	1	13071173	Kuckssee	13071121	Puchow	2012-01-01
13/2012/0014-R	1	13075115	Rollwitz	13075024	Damerow	2012-01-01
13/2012/0014-R	1	13075115	Rollwitz	13075153	Züsedom	2012-01-01
13/2012/0015-R	1	13075055	Jatznick	13075014	Blumenhagen	2012-01-01
13/2012/0015-R	1	13075055	Jatznick	13075062	Klein Luckow	2012-01-01
13/2012/0016-R	1	13071174	Dratow-Schloen	13071051	Groß Dratow	2012-01-01
13/2012/0016-R	1	13071174	Dratow-Schloen	13071129	Schloen	2012-01-01
14/2012/0001-R	3	14521390	Marienberg, Stadt	14521390	Marienberg, Stadt	2012-01-01
14/2012/0001-R	1	14521390	Marienberg, Stadt	14521480	Pobershau	2012-01-01
14/2012/0002-R	1	14522440	Oederan, Stadt	14522160	Frankenstein	2012-01-01
14/2012/0002-R	3	14522440	Oederan, Stadt	14522440	Oederan, Stadt	2012-01-01
14/2012/0003-R	3	14625030	Bernsdorf, Stadt	14625030	Bernsdorf, Stadt	2012-01-01
14/2012/0003-R	1	14625030	Bernsdorf, Stadt	14625620	Wiednitz	2012-01-01
