change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352040	Nordholz	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352010	Cappel	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352012	Dorum	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352034	Midlum	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352035	Misselwarden	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352037	Mulsum	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352047	Padingbüttel	01.01.2015
03/2015/0002-R	1	03352061	Wurster Nordseeküste	03352057	Wremen	01.01.2015
03/2015/0004-R	1	03153018	Clausthal-Zellerfeld, Berg- und Universitätsstadt	03153001	Altenau, Bergstadt	01.01.2015
03/2015/0004-R	1	03153018	Clausthal-Zellerfeld, Berg- und Universitätsstadt	03153004	Clausthal-Zellerfeld, Bergstadt	01.01.2015
03/2015/0004-R	1	03153018	Clausthal-Zellerfeld, Berg- und Universitätsstadt	03153011	Schulenberg im Oberharz	01.01.2015
03/2015/0004-R	1	03153018	Clausthal-Zellerfeld, Berg- und Universitätsstadt	03153015	Wildemann, Bergstadt	01.01.2015
03/2015/0005-R	1	03351026	Südheide	03351013	Hermannsburg	01.01.2015
03/2015/0005-R	1	03351026	Südheide	03351020	Unterlüß	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352030	Langen, Stadt	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352003	Bad Bederkesa, Flecken	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352013	Drangstedt	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352015	Elmlohe	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352016	Flögeln	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352027	Köhlen	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352028	Kührstedt	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352031	Lintig	01.01.2015
03/2015/0006-R	1	03352062	Geestland, Stadt	03352048	Ringstedt	01.01.2015
03/2015/0007-R	3	03158008	Denkte	03158008	Denkte	01.01.2015
03/2015/0007-R	3	03158017	Hedeper	03158017	Hedeper	01.01.2015
03/2015/0007-R	3	03158021	Kissenbrück	03158021	Kissenbrück	01.01.2015
03/2015/0007-R	3	03158024	Remlingen	03158024	Remlingen	01.01.2015
03/2015/0007-R	3	03158025	Roklum	03158025	Roklum	01.01.2015
03/2015/0007-R	3	03158029	Semmenstedt	03158029	Semmenstedt	01.01.2015
03/2015/0007-R	3	03158036	Wittmar	03158036	Wittmar	01.01.2015
03/2015/0007-R	3	03158007	Dahlum	03158007	Dahlum	01.01.2015
03/2015/0007-R	3	03158022	Kneitlingen	03158022	Kneitlingen	01.01.2015
03/2015/0007-R	3	03158027	Schöppenstedt, Stadt	03158027	Schöppenstedt, Stadt	01.01.2015
03/2015/0007-R	3	03158031	Uehrde	03158031	Uehrde	01.01.2015
03/2015/0007-R	3	03158032	Vahlberg	03158032	Vahlberg	01.01.2015
03/2015/0007-R	3	03158035	Winnigstedt	03158035	Winnigstedt	01.01.2015
03/2015/0008-R	1	03157009	Ilsede	03157003	Ilsede	01.01.2015
03/2015/0008-R	1	03157009	Ilsede	03157004	Lahstedt	01.01.2015
14/2015/0001-R	1	14521270	Grünhainichen	14521100	Borstendorf	01.01.2015
13/2015/0001-R	1	13071164	Woldegk, Stadt	13071098	Mildenitz	01.01.2015
13/2015/0002-R	1	13071069	Jabel	13071106	Neu Gaarz	01.01.2015
06/2014/0001-R	4	06634009	Homberg (Efze), Reformationsstadt, Kreisstadt	06634009	Homberg (Efze), Kreisstadt	01.07.2015
07/2015/0005-R	3	07337047	Kirrweiler (Pfalz)	07337047	Kirrweiler (Pfalz)	01.07.2015
07/2015/0005-R	3	07337052	Maikammer	07337052	Maikammer	01.07.2015
07/2015/0005-R	3	07337070	Sankt Martin	07337070	Sankt Martin	01.07.2015
14/2015/0005-R	1	14729370	Rötha, Stadt	14729110	Espenhain	01.08.2015
14/2015/0005-R	3	14729370	Rötha, Stadt	14729370	Rötha, Stadt	01.08.2015
stba/2015/0021-R	4	06431200	Michelbuch, gemfr. Gebiet	06431200	Michelbuch gemfr. Gebiet	01.08.2015
01/2009/0019-R	4	01054078	List auf Sylt	01054078	List	01.09.2015
06/2015/0002-R	4	06631022	Rasdorf, Point-Alpha-Gemeinde	06631022	Rasdorf	01.10.2015
06/2015/0003-R	4	06433012	Rüsselsheim am Main, Stadt	06433012	Rüsselsheim, Stadt	01.10.2015
14/2015/0006-R	4	14522180	Freiberg, Stadt, Universitätsstadt	14522180	Freiberg, Stadt	01.10.2015
14/2015/0007-R	4	14522360	Mittweida, Stadt, Hochschulstadt	14522360	Mittweida, Stadt	01.10.2015
14/2015/0009-R	4	14523130	Grünbach	14523130	Grünbach, Höhenluftkurort	01.11.2015
06/2015/0004-R	4	06439004	Geisenheim, Hochschulstadt	06439004	Geisenheim, Stadt	01.12.2015
